"filename", "language", "PHP", "Shell Script", "Markdown", "XML", "HTML", "JSON", "YAML", "Docker", "CSS", "JavaScript", "Log", "comment", "blank", "total"
"c:\xampp\htdocs\JobRadar\script\chomeur\presentation_ent.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 31, 17, 169
"c:\xampp\htdocs\JobRadar\script\chomeur\presentation_exp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 6, 84
"c:\xampp\htdocs\JobRadar\script\chomeur\prophile.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 8, 5, 36
"c:\xampp\htdocs\JobRadar\script\code_confirmation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 1, 5, 45
"c:\xampp\htdocs\JobRadar\script\employeur\ajout_entreprise.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\xampp\htdocs\JobRadar\script\employeur\ajout_experiance.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 9, 87
"c:\xampp\htdocs\JobRadar\script\employeur\header.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\JobRadar\script\employeur\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 13, 12, 110
"c:\xampp\htdocs\JobRadar\script\employeur\presentation_ent.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 31, 17, 169
"c:\xampp\htdocs\JobRadar\script\employeur\presentation_exp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 6, 84
"c:\xampp\htdocs\JobRadar\script\employeur\prophile.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 8, 5, 36
"c:\xampp\htdocs\JobRadar\script\header_general.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\JobRadar\script\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 13, 12, 110
"c:\xampp\htdocs\JobRadar\script\inscription.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 10, 8, 61
"c:\xampp\htdocs\JobRadar\style\chomeur\entreprise.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 1, 85
"c:\xampp\htdocs\JobRadar\style\chomeur\experiance.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 2, 105
"c:\xampp\htdocs\JobRadar\style\chomeur\footer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\xampp\htdocs\JobRadar\style\chomeur\header.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 26, 4, 176
"c:\xampp\htdocs\JobRadar\style\chomeur\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 262, 0, 0, 1, 41, 304
"c:\xampp\htdocs\JobRadar\style\chomeur\presentation_ent.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 311, 0, 0, 5, 45, 361
"c:\xampp\htdocs\JobRadar\style\chomeur\presentation_exp.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 1, 4, 221
"c:\xampp\htdocs\JobRadar\style\chomeur\profile.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 71
"c:\xampp\htdocs\JobRadar\style\chomeur\prophile.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 2, 35, 269
"c:\xampp\htdocs\JobRadar\style\connexion.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 2, 58
"c:\xampp\htdocs\JobRadar\style\employeur\entreprise.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 1, 92
"c:\xampp\htdocs\JobRadar\style\employeur\experiance.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 2, 105
"c:\xampp\htdocs\JobRadar\style\employeur\footer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\xampp\htdocs\JobRadar\style\employeur\header.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 26, 4, 176
"c:\xampp\htdocs\JobRadar\style\employeur\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 0, 36, 273
"c:\xampp\htdocs\JobRadar\style\employeur\presentation_ent.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 349, 0, 0, 5, 46, 400
"c:\xampp\htdocs\JobRadar\style\employeur\presentation_exp.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 1, 4, 224
"c:\xampp\htdocs\JobRadar\style\employeur\profile.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 71
"c:\xampp\htdocs\JobRadar\style\employeur\prophile.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 2, 35, 269
"c:\xampp\htdocs\JobRadar\style\footer_general.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\xampp\htdocs\JobRadar\style\header_general.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 26, 4, 176
"c:\xampp\htdocs\JobRadar\style\index_general.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 1, 18, 128
"c:\xampp\htdocs\JobRadar\style\inscription.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 1, 57
"c:\xampp\htdocs\JobRadar\vendor\autoload.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"c:\xampp\htdocs\JobRadar\vendor\composer\ClassLoader.php", "PHP", 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 235, 59, 580
"c:\xampp\htdocs\JobRadar\vendor\composer\InstalledVersions.php", "PHP", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 51, 379
"c:\xampp\htdocs\JobRadar\vendor\composer\autoload_classmap.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\JobRadar\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10
"c:\xampp\htdocs\JobRadar\vendor\composer\autoload_psr4.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\JobRadar\vendor\composer\autoload_real.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 39
"c:\xampp\htdocs\JobRadar\vendor\composer\autoload_static.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 37
"c:\xampp\htdocs\JobRadar\vendor\composer\installed.json", "JSON", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 1, 91
"c:\xampp\htdocs\JobRadar\vendor\composer\installed.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\JobRadar\vendor\composer\platform_check.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.codecov.yml", "YAML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 3, 22
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 2, 7
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\actions\build-docs\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 6, 16
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\actions\build-docs\entrypoint.sh", "Shell Script", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 6
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\dependabot.yml", "YAML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 2, 15
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\workflows\docs.yaml", "YAML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\workflows\scorecards.yml", "YAML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 17, 8, 63
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\workflows\tests.yml", "YAML", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 31, 31, 223
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.phan\config.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 42
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\README.md", "Markdown", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 232
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\SECURITY.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 38
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\UPGRADING.md", "Markdown", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 126
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\changelog.md", "Markdown", 0, 0, 954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 1079
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\composer.json", "JSON", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 1, 81
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\docs\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\examples\README.md", "Markdown", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 97
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\examples\contents.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\examples\contentsutf8.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\examples\images\PHPMailer card logo.svg", "XML", 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 1, 210
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\get_oauth_token.php", "PHP", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 18, 183
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ar.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-as.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 36
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-az.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ba.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-be.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-bg.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-bn.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 36
