"filename", "language", "JSON", "PHP", "HTML", "CSS", "JavaScript", "YAML", "Markdown", "Shell Script", "Docker", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\JobRadar\vendor\composer\autoload_static.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 37
"c:\xampp\htdocs\JobRadar\vendor\composer\installed.json", "JSON", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"c:\xampp\htdocs\JobRadar\vendor\composer\installed.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\JobRadar\vendor\composer\platform_check.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.codecov.yml", "YAML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 3, 22
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 2, 7
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 7, 24
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\actions\build-docs\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 6, 16
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\actions\build-docs\entrypoint.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3, 6
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\dependabot.yml", "YAML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 2, 15
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\workflows\docs.yaml", "YAML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\workflows\scorecards.yml", "YAML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 17, 8, 63
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\workflows\tests.yml", "YAML", 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 31, 31, 223
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.phan\config.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 42
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 64, 232
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\SECURITY.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 19, 38
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\UPGRADING.md", "Markdown", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 27, 126
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 954, 0, 0, 0, 0, 125, 1079
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\composer.json", "JSON", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 81
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\docs\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\examples\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 44, 97
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\examples\contents.html", "HTML", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\examples\contentsutf8.html", "HTML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\examples\images\PHPMailer card logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 1, 210
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\get_oauth_token.php", "PHP", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 48, 18, 183
"c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 27
